1.0000E+03	3.0560E-03
1.5000E+03	2.9560E-03
2.0000E+03	2.9615E-03
2.5000E+03	2.8654E-03
3.0000E+03	2.7692E-03
3.5000E+03	2.6731E-03
4.0000E+03	2.6889E-03
4.5000E+03	2.5963E-03
5.0000E+03	2.5037E-03
5.5000E+03	2.4148E-03
6.0000E+03	2.4357E-03
6.5000E+03	2.3464E-03
7.0000E+03	2.2607E-03
7.5000E+03	2.1750E-03
8.0000E+03	2.2000E-03
8.5000E+03	2.1172E-03
9.0000E+03	2.0345E-03
9.5000E+03	1.9517E-03
1.0000E+04	1.9833E-03
1.0000E+03	5.6800E-04
1.5000E+03	4.8235E-04
2.0000E+03	3.9020E-04
2.5000E+03	3.1923E-04
3.0000E+03	2.4615E-04
3.5000E+03	1.8269E-04
4.0000E+03	1.2885E-04
4.5000E+03	8.4615E-05
5.0000E+03	5.0000E-05
5.5000E+03	2.5000E-05
6.0000E+03	9.6154E-06
6.5000E+03	1.9231E-06
7.0000E+03	1.3344E-19
7.5000E+03	0.0000E+00
8.0000E+03	0.0000E+00
8.5000E+03	0.0000E+00
9.0000E+03	0.0000E+00
9.5000E+03	0.0000E+00
1.0000E+04	0.0000E+00
